product_id,title,vendor,price,compare_at_price,tags,sizes_available,stock_per_size,is_sale,is_clearance,bestseller_score
P0001,Silk Avenue Style 1,Silk Avenue,137,137,"cocktail,lace,flowy",8|4|14|2|10,"{'8': 18, '4': 13, '14': 1, '2': 0, '10': 2}",False,False,72
P0002,Velour House Style 2,Velour House,446,506,"evening,cocktail,modest",16|10|6|2,"{'16': 5, '10': 13, '6': 10, '2': 8}",True,True,49
P0003,Aurelia Couture Style 3,Aurelia Couture,263,303,"lace,bridal,prom",10|14|2|8|12|4|16,"{'10': 17, '14': 9, '2': 20, '8': 19, '12': 11, '4': 18, '16': 6}",True,False,99
P0004,Lumiere Style 4,Lumiere,120,140,"modest,lace,cocktail",14|6|8,"{'14': 20, '6': 11, '8': 5}",True,False,90
P0005,Silk Avenue Style 5,Silk Avenue,411,411,"prom,modest,sleeve",6|10|12|4|14|8|16,"{'6': 8, '10': 20, '12': 17, '4': 7, '14': 10, '8': 1, '16': 7}",False,False,28
P0006,Eden Atelier Style 6,Eden Atelier,447,487,"lace,flowy,minimal",16|8|12|14,"{'16': 4, '8': 8, '12': 4, '14': 7}",True,False,75
P0007,Nocturne Style 7,Nocturne,378,438,"minimal,sleeve,sparkle",8|4|10|16|2,"{'8': 1, '4': 3, '10': 4, '16': 20, '2': 5}",True,True,49
P0008,Eden Atelier Style 8,Eden Atelier,319,359,"flowy,evening,lace",2|12|14|16|6|8|4,"{'2': 3, '12': 9, '14': 13, '16': 5, '6': 14, '8': 0, '4': 8}",True,False,81
P0009,Lumiere Style 9,Lumiere,407,427,"fitted,prom,bridal",12|14|4|10,"{'12': 16, '14': 0, '4': 19, '10': 10}",True,False,40
P0010,Velour House Style 10,Velour House,109,129,"sleeve,cocktail,flowy",4|2|12|8|14|6|10,"{'4': 4, '2': 15, '12': 17, '8': 5, '14': 8, '6': 16, '10': 19}",True,False,89
P0011,Velour House Style 11,Velour House,445,485,"cocktail,sparkle,lace",12|8|10|14|2|16,"{'12': 7, '8': 2, '10': 10, '14': 0, '2': 18, '16': 17}",True,True,91
P0012,Silk Avenue Style 12,Silk Avenue,110,130,"quinceanera,minimal,fitted",2|14|6,"{'2': 2, '14': 16, '6': 7}",True,False,17
P0013,Silk Avenue Style 13,Silk Avenue,372,432,"sleeve,lace,fitted",16|14|8|4,"{'16': 3, '14': 3, '8': 13, '4': 11}",True,False,7
P0014,Silk Avenue Style 14,Silk Avenue,414,414,"cocktail,flowy,fitted",14|12|6,"{'14': 3, '12': 7, '6': 6}",False,True,24
P0015,Lumiere Style 15,Lumiere,316,336,"flowy,prom,bridal",16|14|10,"{'16': 3, '14': 1, '10': 20}",True,False,31
P0016,Velour House Style 16,Velour House,288,348,"lace,flowy,fitted",8|14|16|2|4|12,"{'8': 0, '14': 12, '16': 8, '2': 14, '4': 9, '12': 13}",True,False,38
P0017,Velour House Style 17,Velour House,109,109,"sparkle,bridal,cocktail",2|16|10|8|4,"{'2': 1, '16': 16, '10': 2, '8': 5, '4': 2}",False,False,73
P0018,Velour House Style 18,Velour House,376,376,"fitted,modest,bridal",4|8|12|10|6|16|2,"{'4': 10, '8': 7, '12': 8, '10': 12, '6': 4, '16': 20, '2': 9}",False,True,80
P0019,Eden Atelier Style 19,Eden Atelier,131,131,"minimal,flowy,prom",8|10|6|4|12|2|16,"{'8': 11, '10': 9, '6': 5, '4': 14, '12': 17, '2': 9, '16': 19}",False,False,71
P0020,Lumiere Style 20,Lumiere,419,419,"cocktail,modest,lace",10|2|14|16,"{'10': 4, '2': 8, '14': 9, '16': 19}",False,False,34
P0021,Eden Atelier Style 21,Eden Atelier,330,370,"modest,evening,quinceanera",4|12|8,"{'4': 8, '12': 1, '8': 0}",True,False,57
P0022,Eden Atelier Style 22,Eden Atelier,441,501,"cocktail,minimal,lace",2|16|14|4|12|10|8,"{'2': 13, '16': 4, '14': 1, '4': 9, '12': 11, '10': 1, '8': 11}",True,False,46
P0023,Eden Atelier Style 23,Eden Atelier,288,308,"minimal,cocktail,quinceanera",6|14|4|8,"{'6': 0, '14': 5, '4': 10, '8': 13}",True,False,90
P0024,Aurelia Couture Style 24,Aurelia Couture,275,275,"bridal,quinceanera,modest",8|4|16|6|10|2,"{'8': 7, '4': 0, '16': 6, '6': 12, '10': 10, '2': 8}",False,False,52
P0025,Silk Avenue Style 25,Silk Avenue,354,394,"bridal,sparkle,sleeve",4|6|16,"{'4': 18, '6': 8, '16': 1}",True,False,41
P0026,Nocturne Style 26,Nocturne,390,390,"sparkle,modest,bridal",8|6|2|16|12|14,"{'8': 17, '6': 6, '2': 11, '16': 13, '12': 2, '14': 10}",False,False,39
P0027,Eden Atelier Style 27,Eden Atelier,238,298,"sparkle,quinceanera,sleeve",14|12|6|10|4,"{'14': 6, '12': 13, '6': 12, '10': 5, '4': 19}",True,False,1
P0028,Lumiere Style 28,Lumiere,226,246,"sparkle,modest,bridal",12|8|14|16|4|6,"{'12': 15, '8': 5, '14': 2, '16': 9, '4': 16, '6': 20}",True,False,97
P0029,Velour House Style 29,Velour House,424,464,"fitted,sleeve,sparkle",8|4|2|12,"{'8': 7, '4': 15, '2': 19, '12': 2}",True,False,90
P0030,Nocturne Style 30,Nocturne,333,393,"lace,flowy,fitted",6|12|14|2,"{'6': 3, '12': 13, '14': 7, '2': 5}",True,True,32
P0031,Aurelia Couture Style 31,Aurelia Couture,313,333,"minimal,quinceanera,flowy",12|14|8|10|16|6,"{'12': 14, '14': 5, '8': 15, '10': 14, '16': 8, '6': 7}",True,False,31
P0032,Lumiere Style 32,Lumiere,305,305,"lace,cocktail,bridal",8|6|14|12|2,"{'8': 4, '6': 4, '14': 7, '12': 12, '2': 4}",False,False,43
P0033,Eden Atelier Style 33,Eden Atelier,318,378,"sparkle,sleeve,fitted",8|14|16,"{'8': 12, '14': 18, '16': 0}",True,True,46
P0034,Lumiere Style 34,Lumiere,279,339,"flowy,prom,sleeve",8|16|4|6|14|12|2,"{'8': 12, '16': 10, '4': 12, '6': 5, '14': 14, '12': 4, '2': 19}",True,False,85
P0035,Aurelia Couture Style 35,Aurelia Couture,122,182,"modest,lace,sleeve",16|4|2|6,"{'16': 12, '4': 10, '2': 6, '6': 14}",True,False,54
P0036,Lumiere Style 36,Lumiere,121,181,"prom,lace,cocktail",2|6|4,"{'2': 20, '6': 2, '4': 20}",True,False,3
P0037,Eden Atelier Style 37,Eden Atelier,158,178,"evening,sparkle,minimal",16|12|2|10,"{'16': 6, '12': 14, '2': 8, '10': 11}",True,False,92
